GNF-Pf identifier,JC_XSMILES,Qualifier,PF proliferation inhibition 3D7 EC50 uM
GNF-Pf-5561,COC1=CC=C2N=CC=C(C(O)C3CC4(CCN3CC4)C=C)C2=C1,,0.00682
GNF-Pf-5565,O[Si](CCCN1CCCCC1)(C2CCCCC2)C3=CC=CC=C3,,0.02361
GNF-Pf-5574,CCOC1=CC=C2N=CC=C([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4CC)C2=C1,,0.039
GNF-Pf-5576,CC(CCC1=CC=CC=C1)NCC(O)C2=CC=CC(=C2)[N+]([O-])=O,,0.2046
GNF-Pf-5620,CCOC(=O)C1=C(NC(C)=O)SC2=C(O)C(CNC3CCCCC3)=CC=C12,,0.0805
GNF-Pf-5650,CCOC1=CC2=C(C=C1OCC)C(NCC2)C3=CC=C(O)C(Cl)=C3,,0.1569
GNF-Pf-5678,CCCCN(CCCC)C(=O)CN1C=CC(=N)C2=CC=CC=C12,,3.74
GNF-Pf-5679,CCOC(=O)C1=CN=C2C=C(OCC3CC3)C(OCC4CC4)=CC2=C1O,,0.00572
GNF-Pf-5691,NC(=N)NN=CC1=CC(Cl)=CC=C1O,,0.01278
GNF-Pf-60,CC1=CC=CC(OCC(O)CN2CCN(CC2)CC(=O)C3=CC=C(Br)C=C3)=C1,,1.25
GNF-Pf-647,NC1=CC=C(C=C1)C2=NN(C(N)=C2)C3=CC=C(OC4=CC=CC=C4)C(=C3)S(O)(=O)=O,,0.921
GNF-Pf-66,NC1=NC(N)=C2C=C(C=CC2=N1)S(=O)(=O)N3CCOCC3,,0.0626
GNF-Pf-663,COC1=CC=C(CN2N=NN=C2CN3CCC4=CC=CC=C4C3)C=C1,,0.853
GNF-Pf-69,COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@@](O)(C[C@@H]4O[C@H]5C[C@@H](N)[C@H](O)[C@H](C)O5)C(C)=O)C(O)=C3C2=O,,0.3079
GNF-Pf-764,COC1=CC=C(C=C1OC)C2N=C(N)N=C(N)N2C3=CC=C(Cl)C=C3,,0.326
GNF-Pf-777,CC1=CN2C3=CC=CC=C3N(CCN4CCOCC4)C2=N1,,2.477
GNF-Pf-806,COC1=CC=C(C=C1)N2C(N)=NC(N)=NC2(C)C,,0.01378
GNF-Pf-807,CC1=CC=C(N2C(N)=NC(N)=NC2(C)C)C(C)=C1,,0.1053
GNF-Pf-808,CCOC1=CC=C(C=C1)N2C(N)=NC(N)=NC2(C)C,,0.079
GNF-Pf-809,CC1(C)N=C(N)N=C(N)N1C2=CC=C(I)C=C2,,0.00723
GNF-Pf-866,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC3=CC=C(OC)N=C13,,0.744
GNF-Pf-89,CCOC1=CC=C(NC2=NC(N)=C3C=CC=CC3=N2)C=C1,,0.862
GNF-Pf-922,CCCCCCN(CCCCCC)CC(O)C1=CC(=NC2=C(C)C=C(C)C=C12)C3=CC=C(Cl)C=C3,,7.13
GNF-Pf-924,CC1=CC(C)=C(CSC(N)=N)C(C)=C1CSC(N)=N,,1.115
